Category,Capability,Description,Source File,Entry Function,GUI Connected,Voice Connected,Typed Connected,Router Skill,Planner Action,Dependency,External Software,Requires Login,Test Status,Packaged Status,Live Status,Known Error,Missing Connection,Final Classification,Recommended Action
Voice,Microphone enumeration,List Windows audio input devices,voice/devices.py,list_devices,Yes,No,No,N/A,N/A,sounddevice,None,No,Passed (mock),Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Voice,Wake word detection,Offline Hey Jarvis detection via openwakeword,voice/wakeword.py,WakeWordEngine.wait,Yes,Yes,No,system.stop_speech,N/A,openwakeword,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,Verify in packaged build
Voice,Speech recognition,faster-whisper local STT with VAD,voice/listener.py,Listener.listen,Yes,Yes,No,N/A,N/A,faster-whisper,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,Verify in packaged build
Voice,Edge TTS synthesis,Online neural TTS via edge-tts,voice/speaker.py,Speaker._synth_edge,No,Yes,No,N/A,N/A,edge-tts,None,No,Passed (mock),Broken,FAILED,HTTP 403 from edge-tts endpoint,None,BROKEN,Disable Edge TTS on 403 or configure proxy
Voice,Piper TTS synthesis,Offline TTS via piper-tts,voice/speaker.py,Speaker._synth_piper,No,Yes,No,N/A,N/A,piper-tts,None,No,Passed (mock),Source only,FAILED,None,None,WORKING IN SOURCE ONLY,Make Piper the primary (not fallback) TTS
Voice,Volume control,System volume up/down/mute/unmute via pycaw,skills/system_control.py,set_volume,No,Yes,Yes,system.volume,N/A,pycaw,None,No,Tested (route),Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Voice,Barge-in stop,Stop speech on command while speaking,voice/speaker.py,Speaker.stop,No,Yes,Yes,system.stop_speech,N/A,pygame,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,No action needed
Wake word,Hey Jarvis detection,openwakeword offline model,voice/wakeword.py,WakeWordEngine.wait,Yes,Yes,No,N/A,N/A,openwakeword,None,No,Not run,Source only,Unverified,None,None,WORKING IN SOURCE ONLY,Verify in packaged build
Wake word,Console typed fallback,Fallback when wake word unavailable,main.py,typed_loop,No,No,Yes,N/A,N/A,None,None,No,Not run,Source only,VERIFIED,None,None,WORKING IN SOURCE ONLY,No action needed
OpenRouter,LLM client,OpenAI-compatible API client for OpenRouter,brain/llm.py,LLM.chat,Yes,Yes,No,N/A,N/A,openai,httpx,None,No,Not run,Source only,Unverified,No API key set,None,REQUIRES CONFIGURATION,Set OPENROUTER_API_KEY in .env
OpenRouter,Connection test,Ping the configured model,brain/llm.py,LLM.test_connection,Yes,No,No,N/A,N/A,openai,None,No,Passed (mock),Source only,Unverified,None,None,CONNECTED BUT NOT LIVE VERIFIED,Test with live API key
OpenRouter,Model: moonshotai/kimi-k3,Configured cloud model,brain/llm.py,LLM,No,No,No,N/A,N/A,openai,None,No,Config verified,Source only,Unverified,None,None,CONNECTED BUT NOT LIVE VERIFIED,Test with live API key
Router,Fast lane routing,Hardcoded regex rules for instant commands,brain/router.py,fast_lane,No,Yes,Yes,All fast lane skills,N/A,None,None,No,47 tests passed,Both,VERIFIED,None,None,WORKING AND LIVE VERIFIED,No action needed
Router,Qwen local classifier,Local Qwen2.5-0.5B-Instruct intent classification,brain/router.py,Router.classify,No,Yes,No,N/A,N/A,transformers,torch,None,No,Not run,Packaged BROKEN,FAILED,circular import torch.export,None,BROKEN,Debug torch export import in packaged build
Desktop,Open applications,Launch apps via Start Menu / App Paths,skills/system_control.py,open_thing,Yes,Yes,Yes,app.open,N/A,pywin32,None,No,17 tests passed,Both,VERIFIED,None,None,WORKING AND LIVE VERIFIED,No action needed
Desktop,Close applications,Close via registry / PID / window title,skills/system_control.py,close_thing,Yes,Yes,Yes,app.close,N/A,psutil,pygetwindow,None,No,5 tests passed,Both,VERIFIED,None,None,WORKING AND LIVE VERIFIED,No action needed
Desktop,Close everything,Reverse-order teardown of all registry items,skills/system_control.py,close_thing,Yes,Yes,Yes,app.close,N/A,psutil,None,No,Tested,Both,VERIFIED,None,None,WORKING AND LIVE VERIFIED,No action needed
Desktop,Open folders,Open shell folders via registry resolution,skills/system_control.py,open_thing,Yes,Yes,Yes,app.open_folder,N/A,winreg,None,No,17 tests passed,Both,VERIFIED,None,None,WORKING AND LIVE VERIFIED,No action needed
